Marca;Nombre;;Precio Und;Precio XM,Genero,Precio_Optimizado
"DAVIDOFF;DAVIDOFF COOL WATER WOMAN 30ML EDT ;; $18.277 ; $17.277 ","Unisex","301827717990"
"Diesel;DIESEL BAD HOMBRE 100ML EDT ;NUEVO; $29.202 ; $28.202 ","Hombre","1002920228990"
"DIESEL;DIESEL FOR SUCCEFUL LIVING HOMBRE 50 ML EDT ;; $19.874 ; $18.874 ","Hombre","501987418990"
"DIESEL;DIESEL FOR SUCCESSFUL LIVING 30ML HOMBRE EDT ;; $16.605 ; $15.605 ","Hombre","301660515990"
"DIESEL;DIESEL FOR SUCCESSFUL LIVING HOMBRE 100ML EDT ;; $30.891 ; $29.891 ","Hombre","1003089129990"
"DIESEL;DIESEL ONLY THE BRAVE 35 ML EDP HOMBRE ;; $19.958 ; $18.958 ","Hombre","351995818990"
"DIESEL;DIESEL ONLY THE BRAVE HOMBRE 35ML EDT ;; $17.857 ; $16.857 ","Hombre","351785716990"
"DIESEL;DIESEL RED HOMBRE 30 ML EDP ;; $14.924 ; $13.924 ","Hombre","301492413990"
"DIESEL;DIESEL RED PARFUM 50ML EDP ;; $20.798 ; $19.798 ","Unisex","502079819990"
"DIESEL;SET DIESEL FOR SUCCESSFUL LIVING 100ML + 2X75ML EDT ;; $33.151 ; $32.151 ","Unisex","1002753315132990"
"DIESEL;SET DIESEL RED PARFUM 100ML + 10 + 10ML ;; $40.378 ; $39.378 ","Unisex","10010104037839990"
"DKNY;DKNY 100% BE DELICIOUS MUJER 100ML EDT ;; $26.429 ; $25.429 ","Mujer","1001002642925990"
"DOLCE  And  GABBANA;DOLCE & GABBANA L IMPERATRICE MUJER 100 ML EDT ;; $35.756 ; $34.756 ","Mujer","1003575634990"
"DOLCE  And  GABBANA;DOLCE & GABBANA LIGHT BLUE POUR HOMME EDT 100 ML ;NUEVO; $49.370 ; $48.370 ","Hombre","1004937048990"
"Dolce  And  Gabbana;DOLCE & GABBANA PEONY 75ML EDP ;NUEVO; $42.655 ; $41.655 ","Unisex","754265541990"
"DOLCE  And  GABBANA;DOLCE & GABBANA POUR FEMME EAU DE PARFUM MUJER 100ML ;NUEVO; $63.235 ; $62.235 ","Mujer","1006323562990"
"Dolce  And  Gabbana;DOLCE & GABBANA Q BY MUJER 100ML EDT ;; $51.050 ; $50.050 ","Mujer","1005105050990"
"Dolce  And  Gabbana;DOLCE & GABBANA THE ONE FOR MAN 100ML EDT ;NUEVO; $45.176 ; $44.176 ","Unisex","1004517644990"
"DOLCE  And  GABBANA;DOLCE GABBANA THE ONE GOLD POUR HOMME EDP INTENSE 100 ML ;NUEVO; $47.697 ; $46.697 ","Hombre","1004769746990"
"Dolce  And  Gabbana;TESTER DOLCE & GABBANA LIGHT BLUE POUR HOMME 125ML EDT ;NUEVO; $37.605 ; $36.605 ","Hombre","1253760536990"
"Dolce  And  Gabbana;TESTER DOLCE & GABBANA LIGHT MUJER 100 ML EDT ;NUEVO; $37.605 ; $36.605 ","Mujer","1003760536990"
"Dolce  And  Gabbana;TESTER DOLCE & GABBANA THE ONLY ONE MUJER 100 ML EDT ;; $41.807 ; $40.807 ","Mujer","1004180740990"
"DRAKKAR;GUY LAROCHE DRAKKAR NOIR HOMBRE 30 ML EDT ;; $11.555 ; $10.555 ","Hombre","301155510990"
"Emporio Armani;STRONGER WITH YOU INTENSELY EDP 50 ML EMPORIO ARMANI ;; $65.168 ; $64.168 ","Unisex","506516864990"
"ESCADA;ESCADA BRISA CUBANA WOMAN 50 ML EDT ;; $16.597 ; $15.597 ","Unisex","501659715990"
"FRAGANCE WORLD;FRAGANCE WORLD BELLE EDP MUJER 100ML ;; $14.840 ; $13.840 ","Mujer","1001484013990"
"FRAGANCE WORLD;FRAGANCE WORLD COCKTAIL INTENSE 50ML ;; $7.353 ; $6.353 ","Unisex","5073536990"
"FRAGANCE WORLD;FRAGANCE WORLD HAYAATI BEAU 100ML EDP ;NUEVO; $14.496 ; $13.496 ","Unisex","1001449613990"
"FRAGANCE WORLD;FRAGANCE WORLD IS INTENSE EDP 75 ML ;; $14.076 ; $13.076 ","Unisex","751407613990"
"FRAGANCE WORLD;FRAGANCE WORLD IS L`AMOUR INTENSE EDP 75 ML ;; $14.076 ; $13.076 ","Unisex","751407613990"
"FRAGANCE WORLD;FRAGANCE WORLD JUST LYCHEE 100 ML EDP WOMAN ;NUEVO; $14.076 ; $13.076 ","Unisex","1001407613990"
"FRAGANCE WORLD;FRAGANCE WORLD PROUD OF YOU ABSOLUTE  EDP 100ML HOMBRE ;; $14.412 ; $13.412 ","Hombre","1001441213990"
"FRAGANCE WORLD;FRAGANCE WORLD UR WAY PARFUM 100 ML ;NUEVO; $14.076 ; $13.076 ","Unisex","1001407613990"
"FRAGANCE WORLD;FRAGANCE WORLD URBAN MAN AMAZE EDP 90 ML ;; $14.916 ; $13.916 ","Unisex","901491613990"
"FRAGANCE WORLD;FRAGANCE WORLD URBAN MAN PARADISE EDP 90 ML ;; $14.916 ; $13.916 ","Unisex","901491613990"
"FRAGANCE WORLD;FRAGRANCE WORLD CUIR LEATHER 100ML SPR EDP ;; $14.084 ; $13.084 ","Unisex","1001408413990"
"FRAGANCE WORLD;FRENCH AVENUE LIQUID BRUN EDP 100 ML  HOMBRE ;; $26.681 ; $25.681 ","Hombre","1002668125990"
"Fragrance World;FRAGANCE WORLD CANALE DI BLUE EAU DE PARFUM 50 ML ;; $6.765 ; $5.765 ","Unisex","5067655990"
"Fragrance World;FRAGANCE WORLD COCKTAIL INTENSE UNISEX EDP ;; $14.076 ; $13.076 ","Unisex","1407613990"
"Fragrance World;FRAGANCE WORLD HARMONY CODE ABSOLUTE HOMBRE EDP 100 ML ;; $14.412 ; $13.412 ","Hombre","1001441213990"
"Fragrance World;FRAGANCE WORLD HARMONY CODE INTENSE  EDP 100 ML HOMBRE ;; $14.076 ; $13.076 ","Hombre","1001407613990"
"Fragrance World;FRAGANCE WORLD HAYAATI ROSE 100ML EDP ;; $14.076 ; $13.076 ","Unisex","1001407613990"
"Fragrance World;FRAGANCE WORLD IS EDP 75 ML ;; $14.076 ; $13.076 ","Unisex","751407613990"
"Fragrance World;FRAGANCE WORLD IS L`AMOUR EDP 75 ML ;; $14.076 ; $13.076 ","Unisex","751407613990"
